s1,s2,stat_dis
0,1,666494.2608333332
0,2,2427019.8033333337
0,3,107692.61527777775
0,4,1480644.9983333333
0,5,1774475.613888889
0,6,525884.8647222222
0,7,5973225.664444445
0,8,8960679.581944443
0,9,5015415.129444444
0,10,1692999.8947222224
0,11,3072798.4483333346
0,12,1386566.3544444446
0,13,316723.49777777784
0,14,203804.69
0,15,932985.2830555553
0,16,9690923.940555558
0,17,1590562.492222222
0,18,682468.1572222223
0,19,958520.3674999999
0,20,1056112.0491666668
0,21,3595811.424166668
0,22,656763.3272222219
0,23,1808967.0255555552
0,24,14012477.561944442
0,25,4286356.3288888885
0,26,639518.6461111112
0,27,756190.6180555556
0,28,1386566.3544444446
0,29,1783071.9499999997
0,30,2543780.4522222215
0,31,2547610.2683333345
0,32,4577938.608055555
0,33,20572893.460833337
0,34,9827721.56888889
0,35,340967.3141666667
0,36,1483590.4311111108
0,37,6090429.567500001
0,38,3647428.441111111
0,39,781239.7222222224
0,40,1702815.511666667
0,41,707378.2288888888
0,42,4527589.063611113
0,43,786957.5291666667
0,44,2845582.8369444446
0,45,1205188.474722222
0,46,456342.273333333
0,47,1472091.316111111
0,48,651391.2794444442
0,49,5891073.918333333
0,50,4586865.686388889
0,51,4586865.686388889
0,52,2087085.5766666671
0,53,2590540.420555556
0,54,2843684.229722222
0,55,905015.7752777778
0,56,1787015.532222222
0,57,3577149.3058333336
0,58,4659616.629722224
0,59,2949755.380277778
0,60,5360872.340000002
0,61,651391.2794444442
0,62,11692894.80861111
0,63,1450010.553611111
0,64,1281486.294722222
0,65,1755297.9347222224
0,66,2499744.7422222225
0,67,3124258.235833334
0,68,7375188.647222221
0,69,2695025.1397222215
0,70,905015.7752777778
0,71,484038.4102777777
0,72,1969481.3836111112
0,73,905015.7752777778
0,74,4586865.686388889
0,75,4586865.686388889
0,76,1033933.1255555557
0,77,431530.9980555556
0,78,6160914.550833335
0,79,9286594.842500001
0,80,651391.2794444442
0,81,905015.7752777778
0,82,4243762.0061111115
0,83,905015.7752777778
0,84,905015.7752777778
0,85,7903227.643611114
0,86,869061.1499999999
0,87,6606006.950833334
0,88,4845121.420277777
0,89,6765618.331388889
0,90,4586865.686388889
0,91,4586865.686388889
0,92,17627495.479722224
0,93,1841714.2947222223
0,94,5870609.678333334
0,95,6228551.840833333
0,96,4600817.463333334
0,97,3552146.860833333
0,98,8515408.569444446
0,99,3893769.0897222217
0,100,4442654.406111112
0,101,2728700.9572222214
0,102,14346989.426666666
0,103,14012581.679444443
0,104,2980236.583611111
0,105,8546833.766944446
0,106,1762030.275
0,107,4479201.5913888905
0,108,18443143.822222225
0,109,11692894.80861111
0,110,12989188.848055555
0,111,1678025.8266666667
0,112,8591992.98888889
0,113,11132425.926111111
0,114,10285385.64722222
0,115,4586865.686388889
0,116,9597891.28472222
0,117,1861890.0594444447
0,118,2656565.8305555554
0,119,2380310.4902777774
0,120,3705542.4969444433
0,121,651391.2794444442
0,122,651391.2794444442
0,123,651391.2794444442
0,124,690914.321111111
0,125,305010.55972222215
0,126,553591.5744444445
0,127,987979.4247222224
0,128,7301743.859166666
0,129,7748575.86861111
0,130,3194014.966666667
0,131,4586865.686388889
0,132,1717367.9408333334
0,133,2434538.138611111
0,134,1729317.2780555557
0,135,3859079.4266666668
0,136,1641356.3825000003
0,137,792506.3300000001
0,138,1808211.7116666664
0,139,16919516.954444446
0,140,4972827.4075
0,141,651391.2794444442
0,142,651391.2794444442
0,143,2132839.041944444
0,144,10239935.434722222
0,145,7607265.1419444475
0,146,10370703.65944444
0,147,20905690.57166667
0,148,5040952.844444444
0,149,11692894.80861111
0,150,4384952.869722221
0,151,941584.8024999999
0,152,455117.09750000003
0,153,1311891.5069444445
0,154,16485966.935
0,155,20838981.123333327
0,156,11234331.174166664
0,157,301081.9583333334
0,158,880160.8600000001
0,159,905015.7752777778
0,160,226465.2994444444
0,161,250822.4074999999
0,162,16928315.27555556
0,163,2912501.8777777776
0,164,927621.8930555556
0,165,4804931.875277777
0,166,13431437.690277778
0,167,3652367.6380555555
0,168,351551.4008333334
0,169,18842716.83527778
1,2,2736432.9952777773
1,3,603357.8344444445
1,4,530416.3263888891
1,5,2894785.6458333335
1,6,166315.19722222222
1,7,6918913.370277777
1,8,10784429.74888889
1,9,2815263.0497222217
1,10,2383674.614444444
1,11,3806080.0580555554
1,12,2217046.151388889
1,13,1209690.0425
1,14,425530.7891666667
1,15,2000506.287222222
1,16,11835780.479722222
1,17,2501844.441388889
1,18,1535545.8469444446
1,19,2444920.501666666
1,20,2263787.199444444
1,21,4157482.472222222
1,22,574521.179722222
1,23,1719417.7369444445
1,24,16403545.19111111
1,25,4746331.755833334
1,26,336173.13638888893
1,27,607176.6038888891
1,28,2217046.151388889
1,29,1745293.9019444447
1,30,2749666.700277778
1,31,3180310.454166667
1,32,5928927.213333333
1,33,23150180.92166666
1,34,11447394.74138889
1,35,1659785.0433333332
1,36,1696841.5008333335
1,37,7070072.819444445
1,38,4150482.961388889
1,39,1429198.3463888885
1,40,2640545.445833333
1,41,285160.50583333336
1,42,5869570.9283333365
1,43,373761.52277777786
1,44,3944439.7738888897
1,45,857717.5838888888
1,46,1055216.6858333333
1,47,1103538.3486111113
1,48,397822.51250000007
1,49,7132101.715833333
1,50,5798187.336111113
1,51,5798187.336111113
1,52,2626257.2613888886
1,53,3553356.4925000006
1,54,3824304.08
1,55,1384251.5083333338
1,56,3045768.208055556
1,57,5299789.058333332
1,58,5606124.543888891
1,59,3516236.1883333335
1,60,6938374.545277778
1,61,397822.51250000007
1,62,13636583.966666669
1,63,3245251.9544444447
1,64,1533231.3566666665
1,65,1787817.8294444443
1,66,3123960.57861111
1,67,3820140.6000000015
1,68,9160973.021944443
1,69,3167293.840555555
1,70,1384251.5083333338
1,71,1050920.482222222
1,72,2042499.9388888883
1,73,1384251.5083333338
1,74,5798187.336111113
1,75,5798187.336111113
1,76,983731.4869444447
1,77,1314051.2538888888
1,78,7537929.987222222
1,79,10855242.944444448
1,80,397822.51250000007
1,81,1384251.5083333338
1,82,5752884.393611113
1,83,1384251.5083333338
1,84,1384251.5083333338
1,85,9610452.809444446
1,86,1735406.9191666665
1,87,8197768.958333332
1,88,6121559.536666667
1,89,8453951.052777778
1,90,5798187.336111113
1,91,5798187.336111113
1,92,19824210.83055556
1,93,1749723.1394444443
1,94,7487406.8975
1,95,7345272.807222222
1,96,5973422.471388888
1,97,5158635.842222221
1,98,9982618.944166668
1,99,5314551.140000001
1,100,5569536.708611111
1,101,4448284.066944445
1,102,16716780.602499995
1,103,16404006.4275
1,104,3942778.7544444446
1,105,10123917.91388889
1,106,2394276.408611111
1,107,5377317.597777778
1,108,20823605.745277777
1,109,13636583.966666669
1,110,15195868.96222222
1,111,2157661.8413888887
1,112,10359838.03861111
1,113,12926142.958055556
1,114,11988080.46138889
1,115,5798187.336111113
1,116,11295461.853888892
1,117,2834168.6730555557
1,118,3407511.672500001
1,119,2956562.8616666663
1,120,4595682.773888889
1,121,397822.51250000007
1,122,397822.51250000007
1,123,397822.51250000007
1,124,1080450.8069444443
1,125,309531.013888889
1,126,903282.4624999997
1,127,2091232.0594444443
1,128,9096159.05111111
1,129,9171547.616666669
1,130,3689778.193055555
1,131,5798187.336111113
1,132,1960970.5783333331
1,133,3681069.909444445
1,134,1761912.3061111113
1,135,5544771.875277778
1,136,1926170.4772222224
1,137,1933974.743055556
1,138,2901282.3097222224
1,139,19111632.99694445
1,140,6050070.118333334
1,141,397822.51250000007
1,142,397822.51250000007
1,143,3108291.1072222223
1,144,11963054.565000003
1,145,9214702.06611111
1,146,12438694.603611112
1,147,23510709.144722223
1,148,6593859.570833334
1,149,13636583.966666669
1,150,5685302.211666666
1,151,996434.4833333334
1,152,1335566.4655555557
1,153,1314642.306111111
1,154,18975833.399166673
1,155,23392113.659722216
1,156,13145914.477222223
1,157,1345274.0486111115
1,158,999838.2708333335
1,159,1384251.5083333338
1,160,715906.3719444443
1,161,831606.3733333331
1,162,19202936.178055555
1,163,4613208.1641666675
1,164,1757799.3261111113
1,165,5760245.268888887
1,166,15749228.63444445
1,167,4683311.024444445
1,168,1390129.8822222222
1,169,21249172.22888889
2,3,3019545.7847222225
2,4,5157243.758888889
2,5,813549.9750000001
2,6,2271326.4891666668
2,7,1334476.2455555554
2,8,3260786.453055556
2,9,10001171.788333334
2,10,7462055.988055556
2,11,444072.8966666668
2,12,544555.2999999999
2,13,2459279.6827777782
2,14,2732286.767222221
2,15,1184247.2980555554
2,16,3923970.904444444
2,17,569402.8322222222
2,18,1003782.0244444446
2,19,2258225.753611112
2,20,1158220.818611111
2,21,443674.0652777779
2,22,4649363.480555556
2,23,288304.4455555555
2,24,6499599.149166666
2,25,548610.5244444443
2,26,1921155.7522222223
2,27,1070407.0380555554
2,28,544555.2999999999
2,29,570852.0272222222
2,30,379718.1766666666
2,31,306951.058888889
2,32,1088699.9991666665
2,33,10813328.204166664
2,34,3453525.633888888
2,35,3229063.916944444
2,36,317041.3883333333
2,37,1360200.1419444445
2,38,380948.24777777784
2,39,852690.2183333333
2,40,665176.1633333333
2,41,2493554.883888888
2,42,1221137.448611111
2,43,1606254.969722222
2,44,540268.4391666667
2,45,1270341.943611111
2,46,2398746.3877777774
2,47,900181.5855555558
2,48,3692138.0305555556
2,49,1368918.1505555555
2,50,1011376.9458333335
2,51,1011376.9458333335
2,52,8697805.281666666
2,53,634736.1394444443
2,54,417623.4752777778
2,55,638737.8347222221
2,56,743052.628888889
2,57,1274657.6713888887
2,58,805879.2930555558
2,59,345972.18361111113
2,60,1563825.6077777785
2,61,3692138.0305555556
2,62,4810107.3375
2,63,2883794.041944444
2,64,910135.0341666667
2,65,559004.558611111
2,66,354276.5527777779
2,67,426989.5386111113
2,68,2524185.773888889
2,69,198421.83638888894
2,70,638737.8347222221
2,71,3023121.0586111103
2,72,478218.1475000002
2,73,638737.8347222221
2,74,1011376.9458333335
2,75,1011376.9458333335
2,76,898189.7433333336
2,77,2532235.8536111107
2,78,3577293.641944444
2,79,3272855.9280555546
2,80,3692138.0305555556
2,81,638737.8347222221
2,82,1108425.2494444442
2,83,638737.8347222221
2,84,638737.8347222221
2,85,2634912.4569444456
2,86,1262054.5150000006
2,87,2077368.6030555568
2,88,1090976.9519444443
2,89,2159676.0491666673
2,90,1011376.9458333335
2,91,1011376.9458333335
2,92,8482600.373055557
2,93,508993.1947222221
2,94,1841338.6094444436
2,95,1392796.901944444
2,96,1191439.546666667
2,97,971038.6680555557
2,98,2699121.0449999995
2,99,1060949.2130555555
2,100,858397.5727777777
2,101,1064581.0527777777
2,102,6663767.956111112
2,103,6500427.553888889
2,104,416608.3608333334
2,105,2864985.924722222
2,106,893540.0316666665
2,107,889471.5036111108
2,108,9177491.129999999
2,109,4810107.3375
2,110,5762392.715833332
2,111,387371.67722222226
2,112,2987279.8533333335
2,113,4365348.899444444
2,114,3879594.6733333333
2,115,1011376.9458333335
2,116,3497648.7613888895
2,117,568126.3205555556
2,118,447519.3005555555
2,119,383365.02472222224
2,120,677075.2341666669
2,121,3692138.0305555556
2,122,3692138.0305555556
2,123,3692138.0305555556
2,124,827144.8805555555
2,125,2541046.6341666663
2,126,1249095.6733333333
2,127,2135878.9274999998
2,128,2435068.599722223
