s1,s2,temporal_dis,spatial_dis
0,1,666494.2608333332,0.0
0,2,2427019.8033333337,0.0
0,3,107692.61527777775,0.0
0,4,1480644.9983333333,0.0
0,5,1774475.613888889,0.0
0,6,525884.8647222222,0.0
0,7,5973225.664444445,0.0
0,8,8960679.581944443,0.0
0,9,5015415.129444444,0.0
0,10,1692999.8947222224,0.0
0,11,3072798.4483333346,0.0
0,12,1386566.3544444446,0.0
0,13,316723.49777777784,0.0
0,14,203804.69,0.0
0,15,932985.2830555553,0.0
0,16,9690923.940555558,55.7
0,17,1590562.492222222,0.0
0,18,682468.1572222223,0.0
0,19,958520.3674999999,0.0
0,20,1056112.0491666668,0.0
0,21,3595811.424166668,0.0
0,22,656763.3272222219,0.0
0,23,1808967.0255555552,0.0
0,24,14012477.561944442,0.0
0,25,4286356.3288888885,0.0
0,26,639518.6461111112,0.0
0,27,756190.6180555556,0.0
0,28,1386566.3544444446,0.0
0,29,1783071.9499999997,0.0
0,30,2543780.4522222215,0.0
0,31,2547610.2683333345,0.0
0,32,4577938.608055555,0.0
0,33,20572893.460833337,0.0
0,34,9827721.56888889,0.0
0,35,340967.3141666667,0.0
0,36,1483590.4311111108,0.0
0,37,6090429.567500001,0.0
0,38,3647428.441111111,0.0
0,39,781239.7222222224,0.0
0,40,1702815.511666667,0.0
0,41,707378.2288888888,0.0
0,42,4527589.063611113,0.0
0,43,786957.5291666667,0.0
0,44,2845582.8369444446,0.0
0,45,1205188.474722222,0.0
0,46,456342.273333333,0.0
0,47,1472091.316111111,0.0
0,48,651391.2794444442,0.0
0,49,5891073.918333333,0.0
0,50,4586865.686388889,0.0
0,51,4586865.686388889,0.0
0,52,2087085.5766666671,0.0
0,53,2590540.420555556,0.0
0,54,2843684.229722222,0.0
0,55,905015.7752777778,0.0
0,56,1787015.532222222,0.0
0,57,3577149.3058333336,0.0
0,58,4659616.629722224,0.0
0,59,2949755.380277778,0.0
0,60,5360872.340000002,0.0
0,61,651391.2794444442,0.0
0,62,11692894.80861111,0.0
0,63,1450010.553611111,0.0
0,64,1281486.294722222,0.0
0,65,1755297.9347222224,0.0
0,66,2499744.7422222225,0.0
0,67,3124258.235833334,0.0
0,68,7375188.647222221,0.0
0,69,2695025.1397222215,0.0
0,70,905015.7752777778,0.0
0,71,484038.4102777777,0.0
0,72,1969481.3836111112,0.0
0,73,905015.7752777778,0.0
0,74,4586865.686388889,0.0
0,75,4586865.686388889,0.0
0,76,1033933.1255555557,0.0
0,77,431530.9980555556,0.0
0,78,6160914.550833335,0.0
0,79,9286594.842500001,0.0
0,80,651391.2794444442,0.0
0,81,905015.7752777778,0.0
0,82,4243762.0061111115,0.0
0,83,905015.7752777778,0.0
0,84,905015.7752777778,0.0
0,85,7903227.643611114,0.0
0,86,869061.1499999999,0.0
0,87,6606006.950833334,0.0
0,88,4845121.420277777,0.0
0,89,6765618.331388889,0.0
0,90,4586865.686388889,0.0
0,91,4586865.686388889,0.0
0,92,17627495.479722224,0.0
0,93,1841714.2947222223,0.0
0,94,5870609.678333334,0.0
0,95,6228551.840833333,0.0
0,96,4600817.463333334,0.0
0,97,3552146.860833333,0.0
0,98,8515408.569444446,0.0
0,99,3893769.0897222217,0.0
0,100,4442654.406111112,0.0
0,101,2728700.9572222214,0.0
0,102,14346989.426666666,0.0
0,103,14012581.679444443,0.0
0,104,2980236.583611111,0.0
0,105,8546833.766944446,0.0
0,106,1762030.275,0.0
0,107,4479201.5913888905,0.0
0,108,18443143.822222225,0.0
0,109,11692894.80861111,0.0
0,110,12989188.848055555,0.0
0,111,1678025.8266666667,0.0
0,112,8591992.98888889,0.0
0,113,11132425.926111111,0.0
0,114,10285385.64722222,0.0
0,115,4586865.686388889,0.0
0,116,9597891.28472222,0.0
0,117,1861890.0594444447,0.0
0,118,2656565.8305555554,0.0
0,119,2380310.4902777774,0.0
0,120,3705542.4969444433,0.0
0,121,651391.2794444442,0.0
0,122,651391.2794444442,0.0
0,123,651391.2794444442,0.0
0,124,690914.321111111,0.0
0,125,305010.55972222215,0.0
0,126,553591.5744444445,0.0
0,127,987979.4247222224,0.0
0,128,7301743.859166666,0.0
0,129,7748575.86861111,0.0
0,130,3194014.966666667,0.0
0,131,4586865.686388889,0.0
0,132,1717367.9408333334,0.0
0,133,2434538.138611111,0.0
0,134,1729317.2780555557,0.0
0,135,3859079.4266666668,0.0
0,136,1641356.3825000003,0.0
0,137,792506.3300000001,0.0
0,138,1808211.7116666664,0.0
0,139,16919516.954444446,0.0
0,140,4972827.4075,0.0
0,141,651391.2794444442,0.0
0,142,651391.2794444442,0.0
0,143,2132839.041944444,0.0
0,144,10239935.434722222,0.0
0,145,7607265.1419444475,0.0
0,146,10370703.65944444,0.0
0,147,20905690.57166667,0.0
0,148,5040952.844444444,0.0
0,149,11692894.80861111,0.0
0,150,4384952.869722221,0.0
0,151,941584.8024999999,0.0
0,152,455117.09750000003,0.0
0,153,1311891.5069444445,0.0
0,154,16485966.935,0.0
0,155,20838981.123333327,0.0
0,156,11234331.174166664,0.0
0,157,301081.9583333334,0.0
0,158,880160.8600000001,0.0
0,159,905015.7752777778,0.0
0,160,226465.2994444444,0.0
0,161,250822.4074999999,0.0
0,162,16928315.27555556,0.0
0,163,2912501.8777777776,0.0
0,164,927621.8930555556,0.0
0,165,4804931.875277777,0.0
0,166,13431437.690277778,0.0
0,167,3652367.6380555555,0.0
0,168,351551.4008333334,0.0
0,169,18842716.83527778,0.0
